Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Xur-V (Doses Administered),VaxZine-U (Doses Administered),X21 (Doses Administered),ADCC,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Individuals Vaccinated
18/10/2023,Virginia,52811,642,41,41682,87,21517,25586,1491,34078,22937,91,43375,21621,34849,38951,23661,31110,34129,26849,14505
24/12/2022,Pennsylvania,10781,503,72,39576,20039,31774,40326,2882,13908,40176,70,20328,49581,30144,23205,15958,36321,21049,4975,33941
28/08/2023,Indiana,20340,298,27,49684,36087,45768,37258,47546,7622,44061,97,12081,46533,6089,31239,36810,39584,16364,5469,46400
23/03/2023,Wisconsin,28257,458,19,46539,11020,39226,31662,2010,46013,29281,7,47419,23176,24262,42616,44359,9731,40195,3621,49201
5/6/2023,Washington,17298,731,13,36330,2580,23047,30327,36663,5859,12239,54,36284,34765,27396,49792,12213,40139,49716,20309,48587
28/11/2023,Alabama,13372,726,7,40939,31408,17986,28016,33954,45742,44192,49,41897,42740,10681,9776,42703,42558,12236,37644,27550
4/7/2023,Florida,5420,538,98,35604,49104,30127,19285,13581,39861,40472,95,35069,13326,31992,18473,20254,34030,5174,35140,17457
11/6/2023,New Mexico,83991,127,9,45868,34420,33499,33045,32951,22934,37961,33,6142,32426,5574,17826,26548,14452,21292,39259,40993
8/5/2023,Minnesota,63079,770,37,41236,5139,33431,5021,39123,8109,22236,6,14450,48578,329,11132,43865,18881,28986,5206,41440
13/09/2023,Tennessee,80860,341,90,15965,5601,15064,2204,46615,36660,17050,32,38852,13291,31860,34341,13724,2383,43638,7009,44019
8/10/2023,Wyoming,8012,601,6,2744,4113,31219,34561,41245,49918,31508,26,46080,11146,35331,7264,47363,28526,1957,47212,36937
11/4/2023,Florida,10396,230,92,22478,35187,8503,32432,33394,46420,42110,52,19348,11268,42353,8973,43094,26621,23274,44901,11966
22/10/2023,Alabama,4918,573,25,40623,8941,34076,5945,20417,23592,47091,89,6904,48292,47811,34309,45171,34146,16595,41561,6435
14/01/2023,South Dakota,10359,458,83,13694,35953,49476,9277,26502,21746,7912,23,1274,43558,18880,46158,46473,1208,19603,49141,10752
17/06/2023,Delaware,45259,888,58,35445,22376,676,8196,25337,13487,13367,20,9525,1355,49717,13117,49349,13726,43787,36218,23445
23/02/2023,Alabama,24482,742,32,9462,29794,48732,4418,24642,7091,38247,25,13994,12671,38126,34105,29270,16285,10804,8617,9012
26/09/2023,Wyoming,16127,942,98,34518,44637,43176,41545,22620,28179,38381,13,36195,21796,958,34050,25620,8568,47750,16545,7238
2/12/2023,Maine,38237,70,52,31017,41402,44543,16940,2818,33069,11972,10,32794,17813,15326,33386,33443,8559,39035,42568,19829
17/05/2023,Tennessee,80701,540,98,33970,24931,46130,8786,22326,15253,17318,13,34253,7231,24931,23901,45131,26991,19869,17189,1445
25/08/2023,Massachusetts,9752,731,27,46855,40204,32570,48004,4617,1701,47146,10,37757,47192,25685,36995,42952,45228,30210,10081,3899
18/02/2023,Kansas,81041,163,96,41160,19378,46811,11644,27589,36564,23127,98,37533,36441,7115,24065,2882,7848,47897,23870,14220
3/10/2023,Massachusetts,72331,562,15,30445,31751,45866,8673,43111,18419,12686,57,2039,4812,20473,2974,8883,6373,18181,41016,43122
1/10/2023,New Mexico,51624,931,13,23584,1303,946,12516,37465,19895,24598,45,24290,45829,3891,10137,27723,24590,7267,3789,13635
21/05/2023,Washington,90183,782,36,45881,38339,42039,34938,14812,9367,47037,30,43019,38715,7728,41059,41897,15177,34785,4623,44484
5/9/2023,Oklahoma,41133,916,25,10366,43064,6210,25260,9184,46489,20488,85,2460,3212,8931,6743,27872,34408,5363,19825,21472
23/12/2022,Kansas,94790,107,73,19027,32806,23257,49075,40758,15439,10116,45,49058,17107,23849,40830,42329,5635,18910,49641,10482
27/03/2023,Utah,56153,96,10,43544,16767,34067,30065,36588,19088,36661,35,35719,48568,20718,17294,1128,28885,38026,30377,30979
24/09/2023,Colorado,63756,235,53,28799,30448,28873,42341,20138,43262,32343,68,28394,17460,28894,33443,12389,32222,22805,37715,6249
24/01/2023,Minnesota,91928,376,76,5151,48941,15275,37478,37210,31624,11015,13,32875,31450,21105,14206,5028,21376,37157,49376,2282
18/08/2023,Texas,82757,220,77,39102,35624,31733,21775,45166,21098,10313,51,35845,44142,34862,11883,3810,22171,15372,47721,34652
24/09/2023,Massachusetts,85355,685,18,4713,28928,4057,21183,15249,38293,21194,3,47790,37070,25084,8991,44489,13501,23978,46250,11303
4/4/2023,Florida,49682,762,97,44913,21933,7954,40625,13887,1808,2658,60,28574,21848,6084,28475,6857,34851,4494,41213,24005
8/10/2023,Wyoming,67509,606,1,15468,22189,19254,42508,19994,39868,47152,18,15156,7744,22718,26068,33786,49578,47502,27558,26559
4/8/2023,Kentucky,87384,911,12,44297,43709,30214,14504,42364,39532,31578,53,4577,22148,8991,49386,27912,8201,8623,45931,25223
5/9/2023,Wisconsin,76751,324,84,48061,23803,3259,40916,49880,26201,32309,38,10079,2918,9827,14534,41036,8958,47238,27072,26275
11/3/2023,Alaska,77693,621,60,26452,20405,34125,14161,21724,1819,43657,5,9780,10397,43386,31820,47159,28729,32234,27645,24231
9/5/2023,Alabama,25777,441,89,34477,21155,47904,26798,15933,15273,2272,60,4769,23947,32666,23215,34401,29794,26929,15286,3889
15/09/2023,Alaska,14824,471,12,792,26507,40191,42615,33460,47571,15344,60,11372,29197,16573,30820,9814,35822,21642,2373,29284
21/10/2023,Ohio,3418,498,93,247,9165,24766,37420,27556,30750,27977,54,8437,1951,19823,10945,509,29300,35232,20733,30667
22/05/2023,Alaska,13843,113,82,18979,35598,22891,10859,25451,47099,41312,3,26783,26125,48342,29658,12536,32199,17019,15892,28907
20/01/2023,Texas,79778,424,5,26181,19736,49464,48747,28166,10410,232,48,23631,44864,38041,11575,42901,47857,18217,2629,41782
21/06/2023,Louisiana,37223,405,58,13222,24612,40187,28949,42594,9786,35646,64,18488,41906,28321,40681,13495,14315,22363,149,7069
25/05/2023,Rhode Island,62570,18,23,28899,45207,17013,48752,37870,26471,29506,0,15099,49542,46427,35603,24011,22204,9059,7245,29271
19/06/2023,Iowa,7521,131,87,2916,45049,48565,20642,44576,32149,21152,55,3666,10911,25467,6246,48497,3612,4721,15776,39451
29/12/2022,Florida,89162,36,55,581,45842,35057,40189,30718,13258,26661,37,11413,25557,28761,40996,36863,36305,32860,4384,19449
24/09/2023,Delaware,57894,114,2,29977,45973,22053,44140,19171,47720,44606,35,46628,32029,45300,31218,48079,33042,49954,20970,15903
2/1/2023,Wyoming,75659,105,2,31076,47373,30678,40,13247,47906,26435,39,37733,13282,6912,23751,22499,20206,11445,29148,22769
2/7/2023,California,97990,996,9,21880,7489,35323,21277,42588,48244,17920,97,32226,4232,48761,10195,2907,26171,9086,29627,40892
22/11/2023,Massachusetts,15254,572,24,27663,26338,30824,3420,4308,4247,3532,58,28727,17244,13320,41255,14625,13902,28060,7645,48475
29/04/2023,Arizona,52939,239,81,30977,7255,18882,46727,19861,9792,4103,22,17866,44125,21223,27443,40767,4788,38278,23894,42281
14/09/2023,Pennsylvania,90236,29,87,11518,43133,49655,17111,40604,30032,5748,29,49989,25872,28462,36890,27939,14777,6585,12232,25174
14/06/2023,Ohio,38073,449,76,1206,12332,41353,15042,24730,49130,40487,32,22890,26104,15666,23831,10465,5142,42619,13115,8663
27/01/2023,Alabama,24310,262,64,35617,44630,22620,18826,43275,4033,45765,15,38017,44429,1865,12390,16057,15349,4404,34977,10167
25/01/2023,New York,32785,809,93,14023,19374,35877,2645,47883,49637,14762,61,26589,12599,45696,12273,28816,22104,38011,13820,49029
24/07/2023,Pennsylvania,65570,976,36,37422,7157,32195,29992,25720,49171,38065,25,10962,26843,23180,42038,5368,21226,27619,15452,43856
15/12/2022,South Dakota,81577,957,77,45533,37870,11346,34310,46351,45376,7403,86,33812,36121,7120,28604,49804,39481,25378,8956,23206
21/09/2023,West Virginia,57356,303,68,9306,43200,40083,2514,36429,13229,3895,37,10547,42146,24326,27993,24937,12759,9790,24257,40524
21/08/2023,Pennsylvania,24306,661,77,14520,14430,20189,23696,26443,41385,47491,5,12004,26209,30650,21582,36500,12289,19939,26727,39688
19/08/2023,Oklahoma,37950,345,57,30810,38184,10433,14475,46711,38699,1476,89,43563,38429,20003,30811,49963,35103,24667,34793,44592
16/04/2023,Connecticut,79696,950,3,7563,39610,7029,41645,8520,33399,49901,52,44173,45913,41100,21825,9260,46372,38005,43947,18441
23/10/2023,Maryland,93171,319,12,1701,46855,9353,24216,34666,46785,11889,82,3179,12024,45478,32647,11415,10868,44957,12035,20883
18/03/2023,Mississippi,99611,142,73,30147,1830,1996,41915,2409,48408,34350,38,6333,41677,34075,3824,43792,13142,6339,46450,29588
18/10/2023,North Dakota,79928,493,66,20633,48601,28007,18499,45593,28033,27490,24,48968,35711,1021,17894,11988,8842,11001,15274,5369
6/5/2023,Delaware,80904,252,20,11488,22794,7219,25579,627,24459,19378,34,49712,1425,49679,34519,37717,45694,22086,22663,27551
15/08/2023,Arkansas,71838,923,31,27712,1975,42260,28766,2112,47767,47646,46,49350,23913,22036,44958,3351,37002,13223,37096,4213
6/5/2023,Kentucky,34920,502,84,15878,35945,9232,34733,15820,37598,11265,97,8823,31753,48418,17549,18160,1644,38557,41037,44472
19/11/2023,Nebraska,89870,547,20,23896,24410,26576,14440,23177,25236,13861,45,30029,6390,43945,3440,33835,27264,43046,19053,12508
7/1/2023,Georgia,93648,960,72,13819,30643,10794,42759,39040,38884,17687,12,29877,17339,26879,23149,21200,24249,38271,22105,46189
14/02/2023,Georgia,80128,388,11,627,31943,14342,7938,46647,45675,7094,38,3321,39677,4989,21127,13343,14544,39166,40530,4272
25/11/2023,Virginia,91749,598,29,48817,41374,24024,36808,29474,11576,1467,45,27606,18902,39397,24946,33374,48417,6188,25510,48544
25/07/2023,Oklahoma,34538,778,36,35643,32873,4282,48945,48900,29277,40067,7,15863,44009,46724,31593,4976,8314,27082,41422,34794
12/8/2023,Alabama,82411,874,51,48468,2734,6490,24184,43248,28450,11747,37,12118,23322,11014,21554,1256,46728,25274,15395,38357
19/05/2023,Alaska,9286,976,50,12897,29775,23001,22429,32265,27044,27134,19,4978,45680,25021,18388,41464,27971,8177,36762,23802
24/07/2023,New York,19728,749,51,13966,23081,11153,48390,40753,46429,2538,74,45822,5387,26269,44941,49020,11011,8673,41854,12196
11/9/2023,Washington,14640,435,4,15466,12003,44739,9780,2926,7579,314,91,47113,10676,1211,8940,6498,12614,47706,35456,2274
3/5/2023,Georgia,69627,370,74,38480,20308,26042,4186,40842,12036,49217,48,43447,290,46263,19814,32723,46441,19911,5899,44360
29/08/2023,Wisconsin,46663,93,83,29699,16992,4913,39681,8683,11100,36835,54,33296,48058,41572,33101,41537,13745,3926,42247,3978
23/06/2023,Michigan,4912,645,55,11845,38936,24734,18152,6375,44851,11780,62,30727,38179,18998,8125,41636,15543,30179,1578,27584
11/5/2023,Hawaii,51586,109,70,27652,26991,18571,31338,4863,37003,22237,55,16536,2247,42098,10836,3245,4666,34266,28003,4436
16/08/2023,Iowa,73130,359,27,3542,32418,15380,317,40951,44910,34355,57,18417,47655,43941,41587,33145,49564,40396,49087,7356
9/12/2023,Iowa,22752,500,62,36865,24635,1957,20301,20155,13577,45314,20,37889,37162,23163,26773,47522,3099,48104,27055,47068
26/04/2023,Minnesota,60715,737,56,12168,21290,2705,41390,1705,18636,49459,20,2877,39063,35044,45354,22040,31184,35406,8987,16122
16/11/2023,New Mexico,90068,803,80,27240,13575,3323,28149,34461,27541,5957,9,14933,43010,40131,10031,504,21453,8218,26345,18771
10/7/2023,Virginia,8997,222,23,15818,21856,20454,22216,25276,7453,17910,97,6980,22544,25752,2902,25403,32729,27857,35582,16061
14/01/2023,Idaho,54006,901,14,847,5242,31831,13125,21982,27057,6458,23,3583,43641,46885,839,3040,30921,7501,7801,12883
22/05/2023,California,41800,438,82,41791,12268,41690,23371,31572,43249,47070,11,9071,40704,2907,31997,22534,12930,23339,7700,19494
26/02/2023,New York,16620,338,44,12476,47275,15729,34079,30354,21187,16549,66,7624,34918,21643,11593,38037,12865,11958,384,5706
19/07/2023,Wisconsin,71381,48,58,2630,9127,33663,17954,49301,31768,11943,86,14351,3502,30668,47611,24090,654,47413,35607,47101
9/1/2023,Virginia,93299,480,35,41559,40144,44551,27200,2754,12445,12527,26,22716,28428,42487,31566,10419,22892,17507,34220,10991
6/4/2023,North Dakota,55268,241,15,28538,14527,20416,7678,34561,6554,30238,0,4378,10251,34480,7156,2562,21204,28955,5258,30715
19/11/2023,North Dakota,70069,316,11,36971,18861,17150,39340,41878,20409,45626,95,35714,39255,664,18957,38104,26805,13202,8503,23683
28/07/2023,Tennessee,69473,665,68,9620,29476,26509,34644,34416,41701,37092,70,383,18745,20188,41036,21167,25737,4767,32729,30745
25/01/2023,Alaska,92757,521,73,28650,39537,37397,49524,14121,29873,6748,43,29591,2541,33449,2333,1237,18771,36157,45419,3993
31/03/2023,Washington,43512,910,92,11560,28791,34660,31886,9108,39277,4805,78,38258,45918,7028,4672,8653,43807,26165,26393,45303
10/10/2023,Ohio,20608,725,66,7629,24522,33432,34402,1607,48459,24571,2,7052,44146,33557,40422,38216,6290,20438,20515,38795
11/7/2023,Pennsylvania,71557,292,51,33715,4830,24956,42013,24688,39809,40897,48,15574,26781,12476,49845,3191,47972,14306,16177,49502
4/9/2023,North Carolina,93309,85,19,17786,23421,9469,45917,23191,33409,12716,32,22230,7124,39291,34732,39392,49759,12773,34650,14761
3/2/2023,Illinois,18340,804,56,21427,44198,37188,27446,30760,35819,19844,0,5091,30150,43837,25807,13781,8944,39865,33328,20916
23/01/2023,Louisiana,2913,982,73,48100,42399,36260,21789,28266,41974,7316,92,26948,23601,15403,40314,44589,2135,49396,41227,47005
8/8/2023,New Hampshire,53086,806,1,25563,31143,48553,40833,44409,43988,25858,58,38668,18669,21150,49480,19688,22671,22319,13640,3828
22/05/2023,Utah,14429,906,77,5478,42774,9200,19657,584,20230,9473,21,15393,5135,22537,42726,20586,35816,9212,14750,16191
2/8/2023,Arizona,14907,335,42,38872,2828,37690,14891,43426,31063,2061,47,34697,20157,12256,44705,12568,4874,32850,29702,29031
10/5/2023,Iowa,36489,67,76,18930,8949,24346,5620,4,31768,9765,57,40748,1366,47853,29315,7201,9421,14988,29390,18977
14/07/2023,Rhode Island,11088,496,11,39158,15698,37793,22012,22980,25202,38742,78,6822,47756,37105,5262,3830,12814,48779,45386,15970
23/06/2023,Illinois,16588,535,45,28656,23361,20848,4509,44264,27246,35499,31,22174,15680,33094,9635,17592,46858,43852,32987,12740
15/04/2023,Rhode Island,39395,800,7,25963,39796,18891,21665,31623,8466,7835,20,23466,4859,21456,22155,6030,561,25796,20452,8746
13/01/2023,Missouri,61155,773,87,30298,20902,7056,35274,21966,20111,47754,58,46591,26113,10352,19772,18601,12693,5961,23607,38274
6/4/2023,Nevada,39214,261,72,41749,13975,38987,28735,46420,14503,3292,36,16200,40322,29170,41089,22422,46591,27513,6416,44014
4/7/2023,Maine,1469,994,13,23033,7186,16237,37809,49341,6579,35103,77,49437,43515,36958,35135,35187,36511,4826,8573,44357
18/10/2023,West Virginia,44295,327,85,33420,20635,26887,38540,253,24167,28031,63,43177,34033,39178,11037,12769,45358,24404,44218,24362
10/4/2023,Alaska,75253,612,42,28876,48432,34699,14470,41275,12617,17849,61,46801,40981,9711,36928,33224,23666,15625,45621,18515
17/07/2023,South Carolina,35488,584,94,28828,25396,24736,28102,29686,900,43636,65,26197,18192,7922,1200,34314,33992,43231,35002,6303
6/10/2023,Oklahoma,39040,655,4,31790,12084,32828,30714,1818,23105,43084,99,46873,14779,27284,35604,7231,30838,12300,30135,36084
25/04/2023,Tennessee,17975,860,8,34507,48625,44440,29726,40693,30941,4298,21,44751,29822,25225,35442,9456,20696,9796,2659,452
23/03/2023,Delaware,16912,822,78,43370,42647,38372,33386,45254,22431,42992,26,6359,44897,22845,23074,9061,1014,44819,44560,618
16/07/2023,North Carolina,29086,376,58,45840,10692,4911,15941,47324,40541,45975,50,20864,15982,33034,13498,1528,16802,18934,19454,32563
9/4/2023,Rhode Island,83127,230,19,9165,40340,37214,15204,26362,21010,4741,4,41458,1280,20869,15805,31800,42889,24923,43246,26493
5/5/2023,Louisiana,16115,589,61,18983,4299,22988,44061,27247,23899,14768,74,9947,45838,45330,16236,37732,15905,1678,9239,34069
18/09/2023,Florida,80983,33,89,11503,47294,36188,3610,8615,14705,1619,34,37113,35994,17464,711,45660,26105,5586,19547,26539
8/2/2023,Kansas,53573,915,98,16264,3973,5734,1468,20295,25611,15258,81,44971,37736,49637,7394,21790,49899,19322,9487,11134
19/10/2023,Rhode Island,95201,445,99,6713,37039,38514,21277,16881,21179,12907,55,44731,1282,21274,48674,37954,34542,32616,37195,34120
18/10/2023,Alabama,65223,527,86,43149,11221,34655,38930,9851,40346,20724,82,36972,6324,9361,173,37947,47320,3841,43834,25553
